epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,632.433,1.21858,0.73699,1.11548,0.04546,0.90213,0.92653,0.96768,0.57861,1.27411,0.6986,1.14697,0.03348,0.0012872,0.0012872,0.0012872
38,649.873,1.22918,0.74398,1.12651,0.04478,0.92824,0.89759,0.96256,0.5636,1.27614,0.70726,1.15068,0.03326,0.0012674,0.0012674,0.0012674
39,667.015,1.23144,0.75425,1.10542,0.04699,0.92601,0.88543,0.95187,0.5449,1.30045,0.73021,1.15341,0.03728,0.0012476,0.0012476,0.0012476
40,684.758,1.21554,0.73704,1.10802,0.04367,0.93131,0.90612,0.96229,0.5682,1.25771,0.70251,1.12882,0.03466,0.0012278,0.0012278,0.0012278
41,702.107,1.2105,0.72287,1.10366,0.0434,0.91344,0.93061,0.96292,0.5689,1.25908,0.69142,1.12684,0.03467,0.001208,0.001208,0.001208
42,719.347,1.20862,0.71957,1.11849,0.042,0.93344,0.89671,0.95585,0.56609,1.24518,0.69954,1.12411,0.03595,0.0011882,0.0011882,0.0011882
43,736.963,1.19169,0.71395,1.10442,0.04448,0.8908,0.93224,0.95858,0.57154,1.25461,0.69562,1.12043,0.03508,0.0011684,0.0011684,0.0011684
44,754.717,1.1969,0.7183,1.10603,0.04436,0.91508,0.91429,0.96405,0.57465,1.26954,0.69278,1.1247,0.03449,0.0011486,0.0011486,0.0011486
45,772.258,1.21352,0.71915,1.11296,0.04201,0.88743,0.94694,0.96596,0.58427,1.23846,0.68797,1.11573,0.03458,0.0011288,0.0011288,0.0011288
46,789.749,1.21523,0.70518,1.10078,0.04129,0.90816,0.91488,0.96398,0.56984,1.26594,0.69957,1.13075,0.03499,0.001109,0.001109,0.001109
47,806.796,1.19872,0.70949,1.09917,0.0417,0.91722,0.91973,0.95959,0.57555,1.25506,0.70334,1.12263,0.03342,0.0010892,0.0010892,0.0010892
48,823.865,1.19778,0.6999,1.10988,0.04054,0.92995,0.90308,0.9561,0.58455,1.23465,0.69944,1.12841,0.03202,0.0010694,0.0010694,0.0010694
49,841.474,1.20556,0.71445,1.09574,0.04279,0.92584,0.91717,0.96194,0.57523,1.25407,0.69864,1.11731,0.03417,0.0010496,0.0010496,0.0010496
50,859.171,1.20943,0.72658,1.10504,0.04487,0.92506,0.92376,0.95923,0.57127,1.24769,0.69447,1.12479,0.03248,0.0010298,0.0010298,0.0010298
51,876.103,1.20539,0.71432,1.10917,0.04189,0.93107,0.90047,0.96044,0.57339,1.24774,0.70012,1.12404,0.03626,0.00101,0.00101,0.00101
52,893.947,1.19624,0.70274,1.09624,0.04013,0.94443,0.90181,0.96716,0.59137,1.24396,0.68788,1.12218,0.03528,0.0009902,0.0009902,0.0009902
53,911.054,1.19128,0.70109,1.09492,0.04148,0.94618,0.91293,0.96607,0.56997,1.25694,0.68709,1.12094,0.03405,0.0009704,0.0009704,0.0009704
54,928.965,1.18812,0.70069,1.08803,0.04118,0.93869,0.91659,0.96984,0.58653,1.24304,0.68202,1.11851,0.03171,0.0009506,0.0009506,0.0009506
55,946.565,1.20176,0.70415,1.08799,0.04189,0.9445,0.90612,0.9654,0.58829,1.23571,0.68756,1.12473,0.03285,0.0009308,0.0009308,0.0009308
56,963.742,1.19096,0.69717,1.08451,0.04248,0.9304,0.92759,0.9652,0.59251,1.23338,0.68602,1.11188,0.03384,0.000911,0.000911,0.000911
57,980.813,1.17508,0.68947,1.09184,0.04016,0.94117,0.92653,0.96803,0.58471,1.25212,0.68738,1.12528,0.03314,0.0008912,0.0008912,0.0008912
58,998.651,1.18817,0.68893,1.08528,0.04219,0.93988,0.92109,0.96425,0.57527,1.25119,0.69094,1.13333,0.03225,0.0008714,0.0008714,0.0008714
59,1015.52,1.18237,0.68424,1.08358,0.04072,0.91406,0.94058,0.96327,0.58239,1.23593,0.6757,1.12278,0.0327,0.0008516,0.0008516,0.0008516
60,1032.82,1.16617,0.68417,1.09014,0.03895,0.94862,0.90426,0.96418,0.59764,1.22772,0.69259,1.11543,0.03192,0.0008318,0.0008318,0.0008318
61,1049.93,1.16878,0.67912,1.09004,0.04033,0.95524,0.91973,0.96704,0.57267,1.25134,0.6751,1.12819,0.03401,0.000812,0.000812,0.000812
62,1067.5,1.18213,0.68255,1.0874,0.04012,0.9402,0.92517,0.97045,0.58181,1.24449,0.67662,1.11216,0.03256,0.0007922,0.0007922,0.0007922
63,1085.89,1.18456,0.68239,1.08213,0.04103,0.93924,0.90442,0.96598,0.57031,1.24441,0.67637,1.12454,0.03137,0.0007724,0.0007724,0.0007724
64,1103.15,1.17446,0.68276,1.08945,0.04075,0.93523,0.92245,0.96777,0.5821,1.24311,0.66849,1.11777,0.03252,0.0007526,0.0007526,0.0007526
65,1120.62,1.14943,0.66285,1.07779,0.03821,0.90601,0.94014,0.96521,0.58178,1.2241,0.67107,1.10572,0.03203,0.0007328,0.0007328,0.0007328
66,1137.86,1.1719,0.67172,1.08666,0.03789,0.92269,0.9256,0.96555,0.58516,1.23643,0.67114,1.12197,0.032,0.000713,0.000713,0.000713
67,1155.3,1.1646,0.66058,1.078,0.03996,0.91985,0.93692,0.96466,0.57665,1.24657,0.67721,1.12545,0.03411,0.0006932,0.0006932,0.0006932
68,1172.81,1.15641,0.67331,1.07029,0.03902,0.92625,0.92925,0.96906,0.57677,1.24614,0.68299,1.11074,0.03268,0.0006734,0.0006734,0.0006734
69,1189.98,1.15821,0.67783,1.067,0.04058,0.9302,0.92469,0.9688,0.59171,1.22697,0.67454,1.11597,0.03041,0.0006536,0.0006536,0.0006536
70,1207.31,1.15823,0.66831,1.07875,0.03732,0.90456,0.94138,0.97093,0.59403,1.22485,0.66406,1.10457,0.0315,0.0006338,0.0006338,0.0006338
71,1224.65,1.16547,0.67119,1.08204,0.03961,0.93748,0.91809,0.96802,0.58595,1.23849,0.67379,1.11642,0.0325,0.000614,0.000614,0.000614
72,1242.12,1.14958,0.66009,1.06274,0.03979,0.93196,0.93185,0.96751,0.59478,1.22813,0.66625,1.10983,0.03087,0.0005942,0.0005942,0.0005942
73,1260.04,1.16302,0.66732,1.07999,0.03907,0.92358,0.93061,0.96626,0.58819,1.22059,0.665,1.11206,0.03073,0.0005744,0.0005744,0.0005744
74,1277.53,1.15724,0.66829,1.06826,0.03849,0.92236,0.9375,0.96587,0.58481,1.22686,0.66143,1.11071,0.03183,0.0005546,0.0005546,0.0005546
75,1295.12,1.16873,0.66719,1.0782,0.03835,0.93561,0.92653,0.96646,0.58261,1.22974,0.65902,1.11439,0.03173,0.0005348,0.0005348,0.0005348
