epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,828.553,1.65009,0.88744,0.00416,0.84313,0.80583,0.89208,0.48574,1.59099,0.80744,0.00502,0.0011684,0.0011684,0.0011684
44,847.265,1.67767,0.92511,0.00426,0.82363,0.80109,0.87809,0.49789,1.52312,0.80656,0.00472,0.0011486,0.0011486,0.0011486
45,865.759,1.6605,0.93172,0.00425,0.84948,0.78165,0.87747,0.49081,1.57466,0.78556,0.00486,0.0011288,0.0011288,0.0011288
46,883.81,1.69068,0.90837,0.00434,0.85102,0.831,0.90555,0.4887,1.59224,0.80529,0.00496,0.001109,0.001109,0.001109
47,902.095,1.64983,0.88423,0.00425,0.82678,0.84304,0.90662,0.5158,1.55114,0.72165,0.00465,0.0010892,0.0010892,0.0010892
48,920.733,1.62385,0.86621,0.00428,0.8441,0.85006,0.9033,0.50676,1.57698,0.7151,0.00489,0.0010694,0.0010694,0.0010694
49,939.091,1.64386,0.8571,0.00433,0.84636,0.83298,0.89632,0.50266,1.54951,0.76934,0.00474,0.0010496,0.0010496,0.0010496
50,957.908,1.63796,0.86296,0.00438,0.84651,0.8409,0.8977,0.49329,1.59134,0.77492,0.0049,0.0010298,0.0010298,0.0010298
51,975.865,1.64842,0.84258,0.00427,0.85266,0.84565,0.91334,0.5146,1.564,0.68825,0.00485,0.00101,0.00101,0.00101
52,994.453,1.63042,0.83298,0.00434,0.87777,0.83951,0.91069,0.49557,1.58317,0.76353,0.00489,0.0009902,0.0009902,0.0009902
53,1013.24,1.63814,0.82843,0.00428,0.85624,0.86912,0.91625,0.50542,1.59723,0.68225,0.00487,0.0009704,0.0009704,0.0009704
54,1032.1,1.60566,0.80873,0.00417,0.83819,0.84752,0.89997,0.5074,1.58321,0.72011,0.00486,0.0009506,0.0009506,0.0009506
55,1051.2,1.63667,0.83345,0.00407,0.85316,0.85896,0.91528,0.48815,1.65014,0.71963,0.00503,0.0009308,0.0009308,0.0009308
